State,Year,Quarter,District,Registered_users,App_opens,Latitude,Longitude,Region
Andaman And Nicobar Islands,2018,1,North and Middle Andaman,632,0,,,Southern Region
Andaman And Nicobar Islands,2018,1,South Andaman,5846,0,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2018,1,Nicobars,262,0,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2018,2,North and Middle Andaman,911,0,,,Southern Region
Andaman And Nicobar Islands,2018,2,South Andaman,8143,0,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2018,2,Nicobars,351,0,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2018,3,North and Middle Andaman,1208,0,,,Southern Region
Andaman And Nicobar Islands,2018,3,South Andaman,10474,0,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2018,3,Nicobars,467,0,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2018,4,North and Middle Andaman,1553,0,,,Southern Region
Andaman And Nicobar Islands,2018,4,South Andaman,13133,0,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2018,4,Nicobars,536,0,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2019,1,North and Middle Andaman,2013,0,,,Southern Region
Andaman And Nicobar Islands,2019,1,South Andaman,15961,0,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2019,1,Nicobars,622,0,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2019,2,North and Middle Andaman,2417,6118,,,Southern Region
Andaman And Nicobar Islands,2019,2,South Andaman,18621,43569,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2019,2,Nicobars,693,2953,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2019,3,North and Middle Andaman,2662,22064,,,Southern Region
Andaman And Nicobar Islands,2019,3,South Andaman,20518,138190,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2019,3,Nicobars,751,10853,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2019,4,North and Middle Andaman,2955,26253,,,Southern Region
Andaman And Nicobar Islands,2019,4,South Andaman,22202,139646,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2019,4,Nicobars,803,11113,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2020,1,North and Middle Andaman,3315,30444,,,Southern Region
Andaman And Nicobar Islands,2020,1,South Andaman,24174,151529,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2020,1,Nicobars,879,11613,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2020,2,North and Middle Andaman,4100,56992,,,Southern Region
Andaman And Nicobar Islands,2020,2,South Andaman,27626,231071,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2020,2,Nicobars,984,17009,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2020,3,North and Middle Andaman,5355,76553,,,Southern Region
Andaman And Nicobar Islands,2020,3,South Andaman,34833,417785,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2020,3,Nicobars,1147,21227,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2020,4,North and Middle Andaman,7076,125915,,,Southern Region
Andaman And Nicobar Islands,2020,4,South Andaman,43908,725321,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2020,4,Nicobars,1412,35972,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2021,1,North and Middle Andaman,7833,121680,,,Southern Region
Andaman And Nicobar Islands,2021,1,South Andaman,48352,837589,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2021,1,Nicobars,1573,45067,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2021,2,North and Middle Andaman,8493,596182,,,Southern Region
Andaman And Nicobar Islands,2021,2,South Andaman,51903,1270226,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2021,2,Nicobars,1699,381815,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2021,3,North and Middle Andaman,9263,759314,,,Southern Region
Andaman And Nicobar Islands,2021,3,South Andaman,55873,1771107,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2021,3,Nicobars,1846,591204,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2021,4,North and Middle Andaman,10002,171921,,,Southern Region
Andaman And Nicobar Islands,2021,4,South Andaman,59807,1863037,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2021,4,Nicobars,1971,77952,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2022,1,North and Middle Andaman,10720,904869,,,Southern Region
Andaman And Nicobar Islands,2022,1,South Andaman,63487,2368756,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2022,1,Nicobars,2081,573782,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2022,2,North and Middle Andaman,11379,963824,,,Southern Region
Andaman And Nicobar Islands,2022,2,South Andaman,66959,3404740,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2022,2,Nicobars,2192,811449,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2022,3,North and Middle Andaman,11897,1176567,,,Southern Region
Andaman And Nicobar Islands,2022,3,South Andaman,70445,3607286,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2022,3,Nicobars,2300,1284501,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2022,4,North and Middle Andaman,12361,313502,,,Southern Region
Andaman And Nicobar Islands,2022,4,South Andaman,73692,3881359,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2022,4,Nicobars,2389,159232,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2023,1,North and Middle Andaman,12941,3103047,,,Southern Region
Andaman And Nicobar Islands,2023,1,South Andaman,77052,5450795,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2023,1,Nicobars,2491,2458822,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2023,2,North and Middle Andaman,13600,3174229,,,Southern Region
Andaman And Nicobar Islands,2023,2,South Andaman,80112,6884657,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2023,2,Nicobars,2617,4679790,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2023,3,North and Middle Andaman,14216,7130284,,,Southern Region
Andaman And Nicobar Islands,2023,3,South Andaman,83305,5950899,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2023,3,Nicobars,2734,7463896,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2023,4,North and Middle Andaman,14813,1869462,,,Southern Region
Andaman And Nicobar Islands,2023,4,South Andaman,86348,7452861,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2023,4,Nicobars,2817,523637,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2024,1,North and Middle Andaman,15539,9022450,,,Southern Region
Andaman And Nicobar Islands,2024,1,South Andaman,89907,12147903,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2024,1,Nicobars,2965,7368398,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2024,2,North and Middle Andaman,16183,6159746,,,Southern Region
Andaman And Nicobar Islands,2024,2,South Andaman,93421,6749599,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2024,2,Nicobars,3083,3967538,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2024,3,North and Middle Andaman,21728,9789799,,,Southern Region
Andaman And Nicobar Islands,2024,3,South Andaman,143250,6545536,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2024,3,Nicobar,7495,3219511,,,Southern Region
Andaman And Nicobar Islands,2024,4,North and Middle Andaman,22547,2194985,,,Southern Region
Andaman And Nicobar Islands,2024,4,South Andaman,148543,15101583,10.7056905,92.48746789633373,Southern Region
Andaman And Nicobar Islands,2024,4,Nicobar,7698,1395115,,,Southern Region
Andhra Pradesh,2018,1,East Godavari,350356,0,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Srikakulam,143839,0,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Visakhapatnam,497187,0,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,1,Prakasam,189949,0,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,1,Anantapur,241192,0,15.2282086,79.87449940066091,Southern Region
