State,Year,Quarter,District,Registered_users,Latitude,Longitude,Region
Andaman And Nicobar Islands,2018,1,South Andaman,5846,,,
Andaman And Nicobar Islands,2018,1,North and Middle Andaman,632,,,
Andaman And Nicobar Islands,2018,1,Nicobars,262,,,
Andaman And Nicobar Islands,2018,2,South Andaman,8143,,,
Andaman And Nicobar Islands,2018,2,North and Middle Andaman,911,,,
Andaman And Nicobar Islands,2018,2,Nicobars,351,,,
Andaman And Nicobar Islands,2018,3,South Andaman,10474,,,
Andaman And Nicobar Islands,2018,3,North and Middle Andaman,1208,,,
Andaman And Nicobar Islands,2018,3,Nicobars,467,,,
Andaman And Nicobar Islands,2018,4,South Andaman,13133,,,
Andaman And Nicobar Islands,2018,4,North and Middle Andaman,1553,,,
Andaman And Nicobar Islands,2018,4,Nicobars,536,,,
Andaman And Nicobar Islands,2019,1,South Andaman,15961,,,
Andaman And Nicobar Islands,2019,1,North and Middle Andaman,2013,,,
Andaman And Nicobar Islands,2019,1,Nicobars,622,,,
Andaman And Nicobar Islands,2019,2,South Andaman,18621,,,
Andaman And Nicobar Islands,2019,2,North and Middle Andaman,2417,,,
Andaman And Nicobar Islands,2019,2,Nicobars,693,,,
Andaman And Nicobar Islands,2019,3,South Andaman,20518,,,
Andaman And Nicobar Islands,2019,3,North and Middle Andaman,2662,,,
Andaman And Nicobar Islands,2019,3,Nicobars,751,,,
Andaman And Nicobar Islands,2019,4,South Andaman,22202,,,
Andaman And Nicobar Islands,2019,4,North and Middle Andaman,2955,,,
Andaman And Nicobar Islands,2019,4,Nicobars,803,,,
Andaman And Nicobar Islands,2020,1,South Andaman,24174,,,
Andaman And Nicobar Islands,2020,1,North and Middle Andaman,3315,,,
Andaman And Nicobar Islands,2020,1,Nicobars,879,,,
Andaman And Nicobar Islands,2020,2,South Andaman,27626,,,
Andaman And Nicobar Islands,2020,2,North and Middle Andaman,4100,,,
Andaman And Nicobar Islands,2020,2,Nicobars,984,,,
Andaman And Nicobar Islands,2020,3,South Andaman,34833,,,
Andaman And Nicobar Islands,2020,3,North and Middle Andaman,5355,,,
Andaman And Nicobar Islands,2020,3,Nicobars,1147,,,
Andaman And Nicobar Islands,2020,4,South Andaman,43908,,,
Andaman And Nicobar Islands,2020,4,North and Middle Andaman,7076,,,
Andaman And Nicobar Islands,2020,4,Nicobars,1412,,,
Andaman And Nicobar Islands,2021,1,South Andaman,48352,,,
Andaman And Nicobar Islands,2021,1,North and Middle Andaman,7833,,,
Andaman And Nicobar Islands,2021,1,Nicobars,1573,,,
Andaman And Nicobar Islands,2021,2,South Andaman,51903,,,
Andaman And Nicobar Islands,2021,2,North and Middle Andaman,8493,,,
Andaman And Nicobar Islands,2021,2,Nicobars,1699,,,
Andaman And Nicobar Islands,2021,3,South Andaman,55873,,,
Andaman And Nicobar Islands,2021,3,North and Middle Andaman,9263,,,
Andaman And Nicobar Islands,2021,3,Nicobars,1846,,,
Andaman And Nicobar Islands,2021,4,South Andaman,59807,,,
Andaman And Nicobar Islands,2021,4,North and Middle Andaman,10002,,,
Andaman And Nicobar Islands,2021,4,Nicobars,1971,,,
Andaman And Nicobar Islands,2022,1,South Andaman,63487,,,
Andaman And Nicobar Islands,2022,1,North and Middle Andaman,10720,,,
Andaman And Nicobar Islands,2022,1,Nicobars,2081,,,
Andaman And Nicobar Islands,2022,2,South Andaman,66959,,,
Andaman And Nicobar Islands,2022,2,North and Middle Andaman,11379,,,
Andaman And Nicobar Islands,2022,2,Nicobars,2192,,,
Andaman And Nicobar Islands,2022,3,South Andaman,70445,,,
Andaman And Nicobar Islands,2022,3,North and Middle Andaman,11897,,,
Andaman And Nicobar Islands,2022,3,Nicobars,2300,,,
Andaman And Nicobar Islands,2022,4,South Andaman,73692,,,
Andaman And Nicobar Islands,2022,4,North and Middle Andaman,12361,,,
Andaman And Nicobar Islands,2022,4,Nicobars,2389,,,
Andaman And Nicobar Islands,2023,1,South Andaman,77052,,,
Andaman And Nicobar Islands,2023,1,North and Middle Andaman,12941,,,
Andaman And Nicobar Islands,2023,1,Nicobars,2491,,,
Andaman And Nicobar Islands,2023,2,South Andaman,80112,,,
Andaman And Nicobar Islands,2023,2,North and Middle Andaman,13600,,,
Andaman And Nicobar Islands,2023,2,Nicobars,2617,,,
Andaman And Nicobar Islands,2023,3,South Andaman,83305,,,
Andaman And Nicobar Islands,2023,3,North and Middle Andaman,14216,,,
Andaman And Nicobar Islands,2023,3,Nicobars,2734,,,
Andaman And Nicobar Islands,2023,4,South Andaman,86348,,,
Andaman And Nicobar Islands,2023,4,North and Middle Andaman,14813,,,
Andaman And Nicobar Islands,2023,4,Nicobars,2817,,,
Andaman And Nicobar Islands,2024,1,South Andaman,89907,,,
Andaman And Nicobar Islands,2024,1,North and Middle Andaman,15539,,,
Andaman And Nicobar Islands,2024,1,Nicobars,2965,,,
Andaman And Nicobar Islands,2024,2,South Andaman,93421,,,
Andaman And Nicobar Islands,2024,2,North and Middle Andaman,16183,,,
Andaman And Nicobar Islands,2024,2,Nicobars,3083,,,
Andaman And Nicobar Islands,2024,3,South Andaman,143250,,,
Andaman And Nicobar Islands,2024,3,North and Middle Andaman,21728,,,
Andaman And Nicobar Islands,2024,3,Nicobar,7495,,,
Andaman And Nicobar Islands,2024,4,South Andaman,148543,,,
Andaman And Nicobar Islands,2024,4,North and Middle Andaman,22547,,,
Andaman And Nicobar Islands,2024,4,Nicobar,7698,,,
Andhra Pradesh,2018,1,Visakhapatnam,497187,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,1,East Godavari,350356,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,1,Krishna,323673,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,1,Guntur,317065,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Chittoor,309541,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,1,Anantapur,241192,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,1,Kurnool,240133,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,1,West Godavari,213335,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,1,Spsr Nellore,194475,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,1,Prakasam,189949,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,2,Visakhapatnam,636052,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,2,East Godavari,454398,17.233496,81.7225986,Southern Region
Andhra Pradesh,2018,2,Krishna,431965,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2018,2,Guntur,420326,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Chittoor,414306,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2018,2,Anantapur,326383,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,2,Kurnool,319313,15.8344103,78.0499956,Southern Region
Andhra Pradesh,2018,2,West Godavari,282393,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2018,2,Spsr Nellore,261049,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2018,2,Prakasam,253458,15.2282086,79.87449940066091,Southern Region
Andhra Pradesh,2018,3,Visakhapatnam,769096,18.110744,83.386585,Southern Region
Andhra Pradesh,2018,3,East Godavari,558982,17.233496,81.7225986,Southern Region
