State,Year,Quarter,Pincode,Registered_users,Region
Andaman And Nicobar Islands,2018,1,744103,1608,
Andaman And Nicobar Islands,2018,1,744101,1108,
Andaman And Nicobar Islands,2018,1,744105,1075,
Andaman And Nicobar Islands,2018,1,744102,1006,
Andaman And Nicobar Islands,2018,1,744104,272,
Andaman And Nicobar Islands,2018,1,744202,237,
Andaman And Nicobar Islands,2018,1,744112,215,
Andaman And Nicobar Islands,2018,1,744301,207,
Andaman And Nicobar Islands,2018,1,744107,196,
Andaman And Nicobar Islands,2018,1,744211,156,
Andaman And Nicobar Islands,2018,2,744103,2188,
Andaman And Nicobar Islands,2018,2,744101,1521,
Andaman And Nicobar Islands,2018,2,744105,1492,
Andaman And Nicobar Islands,2018,2,744102,1419,
Andaman And Nicobar Islands,2018,2,744104,396,
Andaman And Nicobar Islands,2018,2,744202,343,
Andaman And Nicobar Islands,2018,2,744112,299,
Andaman And Nicobar Islands,2018,2,744107,293,
Andaman And Nicobar Islands,2018,2,744301,273,
Andaman And Nicobar Islands,2018,2,744211,240,
Andaman And Nicobar Islands,2018,3,744103,2741,
Andaman And Nicobar Islands,2018,3,744101,1978,
Andaman And Nicobar Islands,2018,3,744105,1935,
Andaman And Nicobar Islands,2018,3,744102,1803,
Andaman And Nicobar Islands,2018,3,744104,507,
Andaman And Nicobar Islands,2018,3,744202,446,
Andaman And Nicobar Islands,2018,3,744112,388,
Andaman And Nicobar Islands,2018,3,744107,384,
Andaman And Nicobar Islands,2018,3,744301,372,
Andaman And Nicobar Islands,2018,3,744211,327,
Andaman And Nicobar Islands,2018,4,744103,3373,
Andaman And Nicobar Islands,2018,4,744101,2498,
Andaman And Nicobar Islands,2018,4,744105,2416,
Andaman And Nicobar Islands,2018,4,744102,2231,
Andaman And Nicobar Islands,2018,4,744104,634,
Andaman And Nicobar Islands,2018,4,744202,554,
Andaman And Nicobar Islands,2018,4,744107,548,
Andaman And Nicobar Islands,2018,4,744112,496,
Andaman And Nicobar Islands,2018,4,744211,433,
Andaman And Nicobar Islands,2018,4,744301,425,
Andaman And Nicobar Islands,2019,1,744103,4136,
Andaman And Nicobar Islands,2019,1,744101,3030,
Andaman And Nicobar Islands,2019,1,744105,2994,
Andaman And Nicobar Islands,2019,1,744102,2667,
Andaman And Nicobar Islands,2019,1,744104,756,
Andaman And Nicobar Islands,2019,1,744202,753,
Andaman And Nicobar Islands,2019,1,744107,667,
Andaman And Nicobar Islands,2019,1,744112,585,
Andaman And Nicobar Islands,2019,1,744211,524,
Andaman And Nicobar Islands,2019,1,744301,488,
Andaman And Nicobar Islands,2019,2,744103,4748,
Andaman And Nicobar Islands,2019,2,744101,3631,
Andaman And Nicobar Islands,2019,2,744105,3547,
Andaman And Nicobar Islands,2019,2,744102,3008,
Andaman And Nicobar Islands,2019,2,744202,885,
Andaman And Nicobar Islands,2019,2,744104,878,
Andaman And Nicobar Islands,2019,2,744107,787,
Andaman And Nicobar Islands,2019,2,744112,672,
Andaman And Nicobar Islands,2019,2,744211,633,
Andaman And Nicobar Islands,2019,2,744301,534,
Andaman And Nicobar Islands,2019,3,744103,5218,
Andaman And Nicobar Islands,2019,3,744101,4026,
Andaman And Nicobar Islands,2019,3,744105,3920,
Andaman And Nicobar Islands,2019,3,744102,3250,
Andaman And Nicobar Islands,2019,3,744202,982,
Andaman And Nicobar Islands,2019,3,744104,975,
Andaman And Nicobar Islands,2019,3,744107,885,
Andaman And Nicobar Islands,2019,3,744112,765,
Andaman And Nicobar Islands,2019,3,744211,701,
Andaman And Nicobar Islands,2019,3,744301,575,
Andaman And Nicobar Islands,2019,4,744103,5637,
Andaman And Nicobar Islands,2019,4,744101,4321,
Andaman And Nicobar Islands,2019,4,744105,4277,
Andaman And Nicobar Islands,2019,4,744102,3485,
Andaman And Nicobar Islands,2019,4,744202,1087,
Andaman And Nicobar Islands,2019,4,744104,1062,
Andaman And Nicobar Islands,2019,4,744107,953,
Andaman And Nicobar Islands,2019,4,744112,812,
Andaman And Nicobar Islands,2019,4,744211,783,
Andaman And Nicobar Islands,2019,4,744301,611,
Andaman And Nicobar Islands,2020,1,744103,6108,
Andaman And Nicobar Islands,2020,1,744101,4689,
Andaman And Nicobar Islands,2020,1,744105,4684,
Andaman And Nicobar Islands,2020,1,744102,3727,
Andaman And Nicobar Islands,2020,1,744202,1216,
Andaman And Nicobar Islands,2020,1,744104,1154,
Andaman And Nicobar Islands,2020,1,744107,1062,
Andaman And Nicobar Islands,2020,1,744112,889,
Andaman And Nicobar Islands,2020,1,744211,886,
Andaman And Nicobar Islands,2020,1,744301,669,
Andaman And Nicobar Islands,2020,2,744103,6804,
Andaman And Nicobar Islands,2020,2,744105,5479,
Andaman And Nicobar Islands,2020,2,744101,5365,
Andaman And Nicobar Islands,2020,2,744102,4066,
Andaman And Nicobar Islands,2020,2,744202,1475,
Andaman And Nicobar Islands,2020,2,744104,1333,
Andaman And Nicobar Islands,2020,2,744107,1252,
Andaman And Nicobar Islands,2020,2,744112,1039,
Andaman And Nicobar Islands,2020,2,744211,1036,
Andaman And Nicobar Islands,2020,2,744205,806,
Andaman And Nicobar Islands,2020,3,744103,8318,
Andaman And Nicobar Islands,2020,3,744105,7007,
Andaman And Nicobar Islands,2020,3,744101,6881,
Andaman And Nicobar Islands,2020,3,744102,4919,
Andaman And Nicobar Islands,2020,3,744202,1965,
Andaman And Nicobar Islands,2020,3,744104,1718,
Andaman And Nicobar Islands,2020,3,744107,1710,
Andaman And Nicobar Islands,2020,3,744112,1372,
Andaman And Nicobar Islands,2020,3,744211,1279,
Andaman And Nicobar Islands,2020,3,744205,1008,
Andaman And Nicobar Islands,2020,4,744103,10408,
Andaman And Nicobar Islands,2020,4,744105,8962,
Andaman And Nicobar Islands,2020,4,744101,8593,
Andaman And Nicobar Islands,2020,4,744102,5882,
Andaman And Nicobar Islands,2020,4,744202,2711,
Andaman And Nicobar Islands,2020,4,744107,2346,
Andaman And Nicobar Islands,2020,4,744104,2167,
Andaman And Nicobar Islands,2020,4,744112,1761,
Andaman And Nicobar Islands,2020,4,744211,1579,
Andaman And Nicobar Islands,2020,4,744205,1346,
Andaman And Nicobar Islands,2021,1,744103,11416,
Andaman And Nicobar Islands,2021,1,744105,9934,
Andaman And Nicobar Islands,2021,1,744101,9457,
Andaman And Nicobar Islands,2021,1,744102,6395,
Andaman And Nicobar Islands,2021,1,744202,3005,
Andaman And Nicobar Islands,2021,1,744107,2586,
Andaman And Nicobar Islands,2021,1,744104,2383,
Andaman And Nicobar Islands,2021,1,744112,1940,
Andaman And Nicobar Islands,2021,1,744211,1774,
Andaman And Nicobar Islands,2021,1,744205,1505,
Andaman And Nicobar Islands,2021,2,744103,12268,
Andaman And Nicobar Islands,2021,2,744105,10668,
Andaman And Nicobar Islands,2021,2,744101,10120,
Andaman And Nicobar Islands,2021,2,744102,6837,
Andaman And Nicobar Islands,2021,2,744202,3261,
Andaman And Nicobar Islands,2021,2,744107,2783,
Andaman And Nicobar Islands,2021,2,744104,2573,
Andaman And Nicobar Islands,2021,2,744112,2083,
Andaman And Nicobar Islands,2021,2,744211,1904,
Andaman And Nicobar Islands,2021,2,744205,1626,
Andaman And Nicobar Islands,2021,3,744103,13198,
Andaman And Nicobar Islands,2021,3,744105,11480,
Andaman And Nicobar Islands,2021,3,744101,10866,
Andaman And Nicobar Islands,2021,3,744102,7313,
Andaman And Nicobar Islands,2021,3,744202,3543,
Andaman And Nicobar Islands,2021,3,744107,3027,
Andaman And Nicobar Islands,2021,3,744104,2777,
Andaman And Nicobar Islands,2021,3,744112,2250,
Andaman And Nicobar Islands,2021,3,744211,2055,
Andaman And Nicobar Islands,2021,3,744205,1771,
Andaman And Nicobar Islands,2021,4,744103,14127,
Andaman And Nicobar Islands,2021,4,744105,12300,
Andaman And Nicobar Islands,2021,4,744101,11623,
Andaman And Nicobar Islands,2021,4,744102,7813,
Andaman And Nicobar Islands,2021,4,744202,3815,
Andaman And Nicobar Islands,2021,4,744107,3247,
Andaman And Nicobar Islands,2021,4,744104,2962,
Andaman And Nicobar Islands,2021,4,744112,2411,
Andaman And Nicobar Islands,2021,4,744211,2200,
Andaman And Nicobar Islands,2021,4,744205,1902,
Andaman And Nicobar Islands,2022,1,744103,15011,
Andaman And Nicobar Islands,2022,1,744105,13070,
Andaman And Nicobar Islands,2022,1,744101,12300,
Andaman And Nicobar Islands,2022,1,744102,8271,
Andaman And Nicobar Islands,2022,1,744202,4107,
Andaman And Nicobar Islands,2022,1,744107,3455,
Andaman And Nicobar Islands,2022,1,744104,3146,
Andaman And Nicobar Islands,2022,1,744112,2552,
Andaman And Nicobar Islands,2022,1,744211,2344,
Andaman And Nicobar Islands,2022,1,744205,2034,
Andaman And Nicobar Islands,2022,2,744103,15799,
Andaman And Nicobar Islands,2022,2,744105,13791,
Andaman And Nicobar Islands,2022,2,744101,12947,
Andaman And Nicobar Islands,2022,2,744102,8709,
Andaman And Nicobar Islands,2022,2,744202,4361,
Andaman And Nicobar Islands,2022,2,744107,3674,
Andaman And Nicobar Islands,2022,2,744104,3319,
Andaman And Nicobar Islands,2022,2,744112,2700,
